Name;Party;Municipality;Education;Year of birth;Language;Language skills;Gender;In my wellbeing services county, I should be able to get non-urgent treatment in primary health care within two weeks.;Customer fees for public healthcare should be reduced.;It is right that public money is spent to support people's use of private healthcare.;One round-the-clock specialist hospital with emergency services will be enough in my wellbeing services county in the future.;I am prepared to compromise on the social and health services of my home municipality if it is in the interest of the entire wellbeing services county.;My wellbeing services county should attract doctors to health centers with financial incentives, even if that means cutting spending elsewhere.;My wellbeing services county should attract care staff from abroad.;My wellbeing services county must ensure that caregivers have a good command of Finnish or Swedish.;My wellbeing services county should also offer undocumented people healthcare that is not required by law.;This wellbeing services county should stop providing free contraception for young people.;My wellbeing services county should train social and healthcare workers about the diversity of sexual orientation and gender.;It is right that even small hospitals in Swedish-speaking areas be allowed maintain 24-hour special medical care services due to linguistic rights.;Young people should be able to access mental health services without an appointment in my wellbeing services county.;We should add more beds to 24-hour service housing for the elderly, even if it costs more.;In eldercare, home visits can be replaced by remote services.;Adult children should take more responsibility for caring for their elderly parents than they do now.;We must accept that one's place of residence affects the availability of basic social and healthcare services.;This wellbeing services county should reduce its purchase of child protection services from large companies.;Drug users should have the opportunity to exchange dirty needles for clean ones in all the municipalities in my wellbeing services county.;The current fire brigades must be maintained, even in remote areas.;Wellbeing services counties should be given the right to collect tax.;The number of wellbeing services counties should be reduced from the current 21.;Well-being areas must make budget cuts within the required timeframe, even if that means that services must be quickly reduced.;No-one should be allowed to hold triple roles as MP, municipal councillor and regional councillor at the same time.;My wellbeing services county must take into account the reduction of climate emissions in all its decisions.
Kristiina Kaila;Vihreä liitto;Pirkkala;ylempi korkeakoulututkinto;1974;suomi;suomi, ruotsi, englanti, venäjä;female;2;0;2;3;3;2;3;3;1;0;3;0;2;3;0;3;3;1;2;2;3;3;1;3;3
Kristiina Kantola;Suomen Sosialidemokraattinen Puolue;Vesilahti;ylempi korkeakoulututkinto;1967;suomi;suomi, ruotsi, englanti;female;1;1;0;2;2;3;1;3;1;2;2;1;2;2;1;2;2;3;2;3;2;2;1;3;1
Kristiina Karvinen;Kansallinen Kokoomus;Espoo;joku muu;1967;suomi;suomi, englanti;female;3;2;1;1;1;2;0;3;0;2;0;0;3;2;1;1;2;2;2;2;0;2;2;3;0
Kristiina Kippola;Perussuomalaiset;Kajaani;ylioppilas;1971;suomi;suomi, englanti;female;1;3;0;3;2;0;0;3;0;0;1;0;3;2;1;1;1;3;0;3;0;0;0;3;0
Kristiina Koivunen;Kansallinen Kokoomus;Tampere;alempi korkeakoulututkinto;2002;suomi;ruotsi, englanti, saksa;female;2;1;3;2;2;1;2;3;1;0;3;1;3;3;0;0;2;1;2;2;0;3;2;2;2
Kristiina Kronholm;Kansallinen Kokoomus;Jyväskylä;ylempi korkeakoulututkinto;1994;suomi;suomi, ruotsi, englanti, saksa;female;1;2;2;2;1;1;3;3;3;2;3;0;3;2;2;1;3;1;3;2;0;3;2;2;2
Kristiina Mäki-välkkilä;Suomen Keskusta;Tampere;alempi korkeakoulututkinto;1965;suomi;suomi, ruotsi, englanti, saksa;female;2;1;1;0;0;2;0;3;1;0;2;1;3;3;0;0;0;2;3;3;1;1;0;2;2
Kristiina Mäki;Suomen Sosialidemokraattinen Puolue;Turku;ammattitutkinto;1957;suomi;suomi;female;3;3;1;0;2;2;1;3;2;0;1;1;3;3;0;2;0;2;3;3;1;0;0;2;1
Kristiina Ranta;Suomen Kristillisdemokraatit (KD);Viitasaari;ylempi korkeakoulututkinto;1952;suomi;suomi, ruotsi, englanti, saksa;female;2;1;2;3;2;2;3;2;1;2;0;1;3;3;2;2;3;0;0;2;0;3;3;0;2
Kristiina Ruuskanen;Suomen Keskusta;Hämeenlinna;ylempi korkeakoulututkinto;1982;suomi;suomi, ruotsi, englanti, saksa, ranska, espanja;female;3;2;2;1;1;1;1;3;2;1;2;2;2;2;2;1;1;2;2;3;1;1;1;1;3
Kristiina Seppälä;Suomen Kristillisdemokraatit (KD);Liperi;peruskoulu;1956;suomi;suomi;female;2;1;3;0;0;0;3;3;1;0;1;1;3;3;0;1;2;0;3;3;0;1;0;0;0
Kristiina Sivula;Vihreä liitto;Ylivieska;alempi korkeakoulututkinto;1978;suomi;ruotsi, englanti;female;3;2;2;1;2;2;3;3;2;0;3;2;2;2;1;1;0;3;2;2;3;0;1;3;3
Kristiina Store;Kansallinen Kokoomus;Seinäjoki;ylempi korkeakoulututkinto;1960;suomi;ruotsi, englanti;female;1;1;2;3;2;1;2;3;2;0;2;1;2;2;2;1;2;2;3;2;0;1;2;1;2
Kristiina Teerikangas;Suomen Sosialidemokraattinen Puolue;Kokkola;ylioppilas;1954;suomi;suomi, ruotsi, englanti;female;3;3;1;3;2;1;2;3;2;0;3;1;3;3;0;1;0;2;3;3;1;0;0;2;3
Kristiina Treganna malinen;Vasemmistoliitto;Toholampi;ammattitutkinto;1972;suomi;suomi, ruotsi, englanti, saksa;female;3;3;1;1;1;2;1;3;1;0;2;1;2;2;1;1;0;2;2;2;2;1;0;3;2
Kristiina Vainikka;Perussuomalaiset;Järvenpää;alempi korkeakoulututkinto;1977;suomi;suomi, englanti;female;1;2;3;3;2;2;1;3;0;0;0;0;3;3;1;2;1;3;2;3;0;3;1;3;0
Kristiina Vanhala-selin;Vihreä liitto;Hollola;ylempi korkeakoulututkinto;1970;suomi;suomi, ruotsi, englanti, saksa;female;2;1;1;1;1;2;1;2;2;0;3;1;3;2;1;1;1;3;2;3;1;1;1;2;3
Kristiina Vesama;Vihreä liitto;Eurajoki;ylempi korkeakoulututkinto;1972;suomi;suomi, ruotsi, englanti, saksa;female;2;1;2;3;1;1;3;2;2;0;3;0;1;3;1;1;2;2;3;2;1;3;2;3;2
Kristina Ahl;Suomen Sosialidemokraattinen Puolue;Oulu;ammattitutkinto;1967;suomi;suomi, ruotsi, englanti;female;3;3;1;0;2;3;2;3;2;0;2;1;3;3;2;1;2;2;3;3;3;1;1;0;3
Kristina Ruuskanen;Suomen Sosialidemokraattinen Puolue;Riihimäki;ylempi korkeakoulututkinto;1963;suomi;suomi, ruotsi, englanti;female;3;1;1;2;2;1;2;2;2;0;3;1;3;3;2;1;1;2;2;2;0;0;0;3;3
Kristine Myller;Kansallinen Kokoomus;Imatra;ylempi korkeakoulututkinto;1971;suomi;suomi, ruotsi, englanti, saksa;female;2;0;3;2;1;2;2;2;1;2;1;1;3;2;2;1;0;2;3;3;0;3;3;2;2
Kroisos Lahdenperä;Suomen Keskusta;Keminmaa;joku muu;1993;suomi;suomi, englanti;female;3;3;2;0;2;0;2;3;2;0;3;3;1;2;1;2;1;2;2;3;3;0;0;2;2
Kukka Kunnari;Vasemmistoliitto;Tampere;ylempi korkeakoulututkinto;1990;suomi;ruotsi, englanti;other;3;3;0;1;2;1;2;3;3;0;3;2;3;3;0;0;0;3;3;2;3;1;0;1;3
Kullervo Haapala;Suomen Kommunistinen Puolue;Espoo;ylioppilas;1999;suomi;suomi, ruotsi, englanti, saksa;male;1;3;1;0;0;1;0;2;3;0;3;3;3;3;0;1;1;3;3;3;3;0;1;3;3
Kusti Kaukoniemi;Suomen Sosialidemokraattinen Puolue;Siuntio;ylempi korkeakoulututkinto;1979;suomi;ruotsi, englanti, saksa;male;3;3;1;1;1;2;2;3;2;1;3;2;3;3;1;1;0;3;3;3;3;1;1;3;2
Kylli Kylliäinen;Sitoutumaton;Hämeenlinna;ammattitutkinto;1956;suomi;suomi, englanti;female;2;2;1;2;2;1;2;1;3;0;1;0;3;3;0;2;0;3;3;2;1;1;1;1;2
Kyllikki Anttila;Kansallinen Kokoomus;Seinäjoki;ylempi korkeakoulututkinto;1959;suomi;englanti;female;2;2;3;3;3;0;3;3;0;0;2;0;2;3;2;2;1;1;2;3;0;1;1;0;2
Kyösti Kallberg;Vasemmistoliitto;Porvoo;alempi korkeakoulututkinto;2000;suomi;;male;3;2;0;2;1;1;3;3;3;0;3;3;3;2;1;0;0;3;3;3;3;0;0;2;3
Kyösti Kekki;Liike Nyt;Janakkala;alempi korkeakoulututkinto;1958;suomi;englanti;;0;0;3;2;0;3;3;3;0;1;0;2;2;2;0;0;0;0;2;2;0;3;0;3;0
Lahja-Elina Vatanen;Suomen Keskusta;Joensuu;ylempi korkeakoulututkinto;1963;suomi;suomi, ruotsi, englanti, saksa;female;2;2;1;2;2;0;2;3;1;1;1;0;1;3;0;2;0;1;2;3;1;1;0;3;0
Laila Uljas;Suomen Keskusta;Kouvola;ylempi korkeakoulututkinto;1979;jokin muu;suomi, englanti;female;2;1;2;0;1;2;2;3;1;1;2;0;3;2;1;2;2;2;3;3;0;0;0;0;2
Laila Vainio;Vihreä liitto;Oulu;ylempi korkeakoulututkinto;1962;suomi;englanti, saksa, ranska;female;2;2;2;1;1;1;0;3;2;0;2;1;2;3;1;2;1;2;3;2;2;2;1;2;2
Lari Naumanen;Suomen Kristillisdemokraatit (KD);Outokumpu;ammattitutkinto;1990;suomi;suomi, englanti;male;2;2;2;1;0;2;1;3;1;0;3;1;3;3;1;2;0;1;2;3;1;1;1;1;2
Lari Paski;Vasemmistoliitto;Seinäjoki;ammattitutkinto;1974;suomi;suomi, englanti;male;3;3;0;1;2;2;1;2;2;0;2;2;3;3;2;2;1;3;3;2;3;0;0;3;3
Lari Rönn;Perussuomalaiset;Oulu;ammattitutkinto;1975;suomi;suomi, ruotsi, englanti;male;3;2;2;0;1;3;0;3;0;0;0;3;3;3;1;2;0;3;1;3;0;2;0;0;1
Larisa Arminen;Kansallinen Kokoomus;Lappeenranta;ylempi korkeakoulututkinto;1970;suomi;suomi, ruotsi, englanti;female;2;1;2;2;2;2;2;2;2;1;2;3;2;2;0;2;2;1;1;2;1;2;2;3;3
Lasse Ahola;Perussuomalaiset;Kouvola;alempi korkeakoulututkinto;1966;suomi;suomi, ruotsi, englanti, italia;male;2;2;1;2;0;1;1;2;1;3;0;1;2;2;2;2;1;2;2;2;1;3;0;2;1
Lasse Haavasoja;Vasemmistoliitto;Vantaa;ammattitutkinto;1994;suomi;suomi, englanti;male;2;3;1;1;0;3;1;2;1;0;3;1;3;2;0;1;0;3;3;3;3;0;0;3;1
Lasse Hassinen;Kansallinen Kokoomus;Porvoo;ylempi korkeakoulututkinto;1977;suomi;suomi, ruotsi, englanti, saksa;male;2;1;2;2;2;1;2;2;0;2;1;1;2;2;0;1;1;1;3;2;2;2;2;2;0
Lasse Hautala;Suomen Keskusta;Kauhajoki;ammattitutkinto;1963;suomi;suomi, englanti;male;3;1;2;3;0;2;2;3;1;0;0;0;3;3;2;2;1;1;1;3;0;1;0;3;1
Lasse Juhani Lilja;Suomen Sosialidemokraattinen Puolue;Hattula;ammattitutkinto;1974;suomi;suomi, ruotsi, englanti;male;2;2;0;3;0;1;0;3;2;0;3;1;2;2;1;2;1;3;3;3;0;3;0;3;1
Lasse Kontiola;Suomen Keskusta;Rovaniemi;alempi korkeakoulututkinto;1980;suomi;suomi, ruotsi, englanti;male;2;2;2;1;1;1;3;2;1;0;1;1;3;2;2;1;0;1;2;3;0;0;0;3;2
Lasse Lampen;Vapauden liitto;Jyväskylä;ammattitutkinto;1980;suomi;suomi, englanti;male;3;3;0;0;0;3;0;3;0;0;0;0;3;3;0;0;0;3;3;3;0;0;0;3;0
Lasse Mikkola;Perussuomalaiset;Oulu;ylempi korkeakoulututkinto;1959;suomi;englanti;male;2;1;2;1;2;1;1;3;2;0;2;1;3;3;1;2;1;2;2;2;1;3;2;3;2
Lasse Oinonen;Perussuomalaiset;Imatra;alempi korkeakoulututkinto;1973;suomi;suomi, ruotsi, englanti;male;2;1;2;3;2;2;2;3;0;2;1;1;2;3;2;2;3;1;2;2;0;3;1;2;0
Lasse Paananen;Vapauden liitto;Jyväskylä;ammattitutkinto;1979;suomi;suomi, englanti;male;2;2;1;1;2;2;0;3;0;2;0;1;2;2;0;2;3;2;1;3;0;2;2;3;0
Lasse Pakkanen;Suomen Keskusta;Lahti;ammattitutkinto;1955;suomi;suomi;male;2;2;2;3;1;1;2;2;0;1;1;1;3;2;0;2;0;2;2;3;1;2;0;3;1
Lasse Pikkarainen;Kansallinen Kokoomus;Kajaani;alempi korkeakoulututkinto;1982;suomi;suomi, ruotsi, englanti;male;0;2;3;3;3;1;3;3;2;1;2;3;1;1;2;1;3;0;3;3;0;3;2;3;1
Lasse Pöyry;Suomen Sosialidemokraattinen Puolue;Mikkeli;ylempi korkeakoulututkinto;1976;suomi;suomi, englanti;male;2;1;1;3;3;0;2;3;1;0;2;0;3;3;1;2;3;1;3;2;1;3;1;3;3
Lasse Ruotsala;Suomen Kristillisdemokraatit (KD);Kauhava;ylempi korkeakoulututkinto;1982;suomi;suomi;male;0;1;2;0;2;2;2;2;0;2;0;0;1;2;1;3;3;2;0;3;0;2;1;2;0
Lasse Sevon;Perussuomalaiset;Sonkajärvi;alempi korkeakoulututkinto;1999;suomi;ruotsi, englanti;male;2;1;2;0;0;1;1;3;0;1;1;0;2;2;0;2;0;2;1;3;0;3;2;3;1
Lassi Hakonen;Suomen Sosialidemokraattinen Puolue;Jyväskylä;ylioppilas;2003;suomi;suomi, ruotsi, englanti;male;3;3;1;3;3;2;2;2;3;0;3;1;3;3;1;0;0;2;3;3;2;1;0;2;3
Lassi Kaleva;Perussuomalaiset;Tampere;alempi korkeakoulututkinto;1965;suomi;englanti;male;3;3;3;2;2;2;2;3;0;0;1;0;3;3;1;2;1;3;2;3;0;1;2;2;0
Lassi Laine;Vihreä liitto;Turku;ylempi korkeakoulututkinto;1986;suomi;suomi, englanti;male;2;2;1;1;2;1;2;2;2;0;2;1;2;2;2;2;2;2;2;2;2;2;1;3;2
Lassi Leivo;Sitoutumaton;Lahti;ammattitutkinto;1992;suomi;suomi, englanti;male;2;1;2;2;2;1;1;3;1;1;1;1;1;2;1;2;2;1;1;3;0;1;1;0;2
Lassi Markkanen;Suomen Sosialidemokraattinen Puolue;Järvenpää;ylempi korkeakoulututkinto;1955;suomi;ruotsi, englanti, saksa;male;3;2;1;2;2;1;1;2;2;1;2;1;2;2;1;1;1;1;2;2;2;2;1;2;2
Lassi Murto;Kansallinen Kokoomus;Raisio;alempi korkeakoulututkinto;1987;suomi;suomi, ruotsi, englanti;male;3;1;2;2;2;1;2;2;3;0;2;1;3;2;1;2;2;3;1;3;1;3;1;3;2
Lassi Mäkelä;Kansallinen Kokoomus;Oulu;alempi korkeakoulututkinto;1980;suomi;suomi, englanti;male;2;1;2;0;2;1;2;2;1;1;2;1;3;2;2;1;2;2;1;2;1;2;1;2;1
Lassi Niininen;Vihreä liitto;Jyväskylä;ylempi korkeakoulututkinto;1998;suomi;suomi, englanti;male;3;3;2;1;2;2;2;3;3;0;3;1;3;2;0;2;1;3;3;2;3;3;0;2;2
Lassi Raivonen;Vasemmistoliitto;Jyväskylä;ylempi korkeakoulututkinto;1993;suomi;suomi, englanti;male;2;3;0;0;2;1;1;2;2;0;3;1;3;3;0;1;1;2;3;3;2;0;0;3;3
Lassi Relander;Perussuomalaiset;Koski Tl;ammattitutkinto;1996;suomi;suomi, ruotsi, englanti;male;3;3;2;0;0;0;0;3;0;2;1;0;2;2;0;1;1;1;1;3;0;3;1;3;0
Lassi Valkama;Suomen Sosialidemokraattinen Puolue;Hämeenlinna;ammattitutkinto;1966;suomi;suomi, ruotsi, englanti;male;3;2;1;3;1;1;2;3;3;0;2;1;3;3;1;1;2;2;2;3;0;1;0;2;1
Latékoé Lawson hellu;Vihreä liitto;Oulu;alempi korkeakoulututkinto;1962;jokin muu;suomi, englanti, ranska;male;3;2;0;3;1;1;2;2;3;0;3;1;3;3;0;0;2;2;3;2;2;1;1;3;3
Laura Ahola;Vasemmistoliitto;Ylöjärvi;ylempi korkeakoulututkinto;1975;suomi;suomi, ruotsi;female;3;3;3;0;1;1;1;2;3;1;3;2;2;3;0;0;1;3;3;3;2;1;1;3;3
Laura Airila;Suomen Keskusta;Huittinen;ylioppilas;1983;suomi;ruotsi, englanti, saksa, ranska, espanja, italia;female;1;1;1;2;1;1;1;2;1;0;3;2;3;2;0;1;0;2;3;3;0;1;0;1;1
Laura Ala-Kokko;Vihreä liitto;Seinäjoki;ylempi korkeakoulututkinto;1979;suomi;suomi, ruotsi, englanti, espanja;female;2;3;1;3;3;1;2;2;3;0;3;2;2;2;2;1;1;3;3;3;2;1;0;3;3
Laura Günsberg-sandström;Suomen ruotsalainen kansanpuolue;Sipoo;alempi korkeakoulututkinto;1978;ruotsi;suomi, ruotsi, englanti;female;3;3;1;3;1;1;2;2;1;0;1;2;2;1;1;2;1;1;1;3;2;1;1;1;1
Laura Hannula;Vihreä liitto;Sauvo;ylempi korkeakoulututkinto;1989;suomi;suomi, englanti;female;2;1;1;1;1;1;2;2;3;0;3;2;3;2;1;1;0;2;3;3;3;1;0;2;3
Laura Hatakka;Vihreä liitto;Nurmijärvi;ylempi korkeakoulututkinto;1988;suomi;suomi, ruotsi, englanti;female;3;2;0;2;2;0;1;3;2;0;3;1;3;2;2;1;0;2;3;3;2;1;0;3;3
Laura Heikinheimo;Kansallinen Kokoomus;Hämeenlinna;ammattitutkinto;1988;suomi;englanti, italia;female;1;0;3;3;3;1;2;2;0;0;2;1;1;1;2;2;2;1;3;1;0;2;2;1;1
Laura Horsma;Vasemmistoliitto;Rovaniemi;alempi korkeakoulututkinto;1994;suomi;suomi, englanti;female;3;2;1;1;2;1;2;2;2;0;3;1;2;2;1;1;2;2;3;2;2;1;1;2;2
Laura Huuhka;Vasemmistoliitto;Pori;ammattitutkinto;1995;suomi;suomi, englanti;female;2;3;1;3;0;1;1;2;3;0;3;2;3;3;0;0;0;3;3;3;0;0;0;2;2
Laura Hämäläinen;Kansallinen Kokoomus;Vantaa;ylempi korkeakoulututkinto;1988;suomi;suomi, ruotsi, englanti, joku muu;female;2;1;3;3;0;1;2;2;1;2;2;0;3;0;3;1;2;0;1;3;0;2;2;1;2
Laura Illikainen;Kansallinen Kokoomus;Kuusamo;ammattitutkinto;1986;suomi;suomi, ruotsi, englanti, saksa;female;1;2;2;1;0;1;2;2;1;2;2;1;3;2;2;2;1;0;2;3;0;2;1;1;1
Laura Jokela;Perussuomalaiset;Orimattila;ammattitutkinto;1991;suomi;suomi, englanti;female;1;1;3;3;1;2;0;3;0;2;0;0;2;2;2;1;2;1;2;3;0;1;2;2;0
Laura Jäntti;Vasemmistoliitto;Kotka;ylempi korkeakoulututkinto;1980;suomi;suomi, englanti;female;3;2;1;1;0;1;2;2;2;0;3;2;3;2;1;1;0;1;3;2;2;1;1;2;2
Laura Kallio;Vasemmistoliitto;Turku;alempi korkeakoulututkinto;2001;suomi;suomi, ruotsi, englanti;female;3;2;1;1;3;1;1;2;3;0;3;2;3;3;0;2;1;3;3;2;3;1;0;2;3
Laura Kangasoja;Kansallinen Kokoomus;Kuopio;alempi korkeakoulututkinto;2000;suomi;suomi, ruotsi, englanti, saksa;female;1;1;2;2;2;1;2;2;1;1;2;1;2;2;2;2;2;1;2;1;1;3;2;1;2
Laura Kivimäki;Vihreä liitto;Seinäjoki;ylempi korkeakoulututkinto;1977;suomi;suomi, ruotsi, englanti, saksa;female;1;2;1;3;2;1;2;2;2;0;3;1;3;2;2;1;3;2;3;2;1;1;2;3;3
Laura Koivisto;Vihreä liitto;Oulu;ylempi korkeakoulututkinto;1989;suomi;suomi, ruotsi, englanti, saksa;female;1;2;1;2;2;1;2;3;2;1;2;2;3;2;2;2;0;2;3;3;2;1;1;1;3
Laura Kontu;Kansallinen Kokoomus;Uusikaupunki;ylempi korkeakoulututkinto;1984;suomi;suomi, ruotsi, englanti;female;3;0;3;0;2;0;3;1;3;0;3;0;3;2;2;2;2;0;2;3;0;3;3;0;0
Laura Korhonen;Vasemmistoliitto;Tampere;ylioppilas;1999;suomi;englanti;female;3;3;0;0;1;2;1;3;2;0;3;2;3;2;0;0;1;3;3;3;3;0;0;3;3
Laura Kupiainen;Vihreä liitto;Joensuu;ylempi korkeakoulututkinto;1995;suomi;suomi, ruotsi, englanti, saksa, venäjä;female;3;2;1;3;0;2;2;2;2;0;2;1;3;3;0;0;2;2;3;3;1;0;1;2;3
Laura Kämäräinen;Vihreä liitto;Kempele;ylempi korkeakoulututkinto;1983;suomi;ruotsi, englanti;female;2;2;0;1;1;2;2;2;2;0;2;1;2;2;1;1;1;3;1;2;2;1;0;2;2
Laura Körkkö;Suomen Sosialidemokraattinen Puolue;Oulu;alempi korkeakoulututkinto;2002;suomi;suomi;female;3;2;1;0;1;1;2;3;1;0;2;1;2;3;1;1;1;2;3;3;1;1;1;2;2
Laura Lakso;Suomen Keskusta;Pelkosenniemi;ylempi korkeakoulututkinto;1984;suomi;suomi, ruotsi, englanti, venäjä;female;2;2;1;1;0;1;2;2;0;1;1;0;1;3;1;2;0;2;1;3;2;1;0;0;1
Laura Luukkonen;Suomen Sosialidemokraattinen Puolue;Lappeenranta;ylempi korkeakoulututkinto;1984;suomi;suomi, ruotsi, englanti, saksa;female;3;3;1;3;2;1;2;3;3;0;3;3;3;3;1;0;0;1;3;3;0;0;0;1;2
Laura Lähteenmäki;Liberaalipuolue - Vapaus valita;Lahti;alempi korkeakoulututkinto;1991;suomi;englanti;female;1;1;2;3;2;2;2;3;0;1;3;0;3;3;1;0;2;2;3;0;3;3;1;3;3
Laura Maisonvaara;Suomen Sosialidemokraattinen Puolue;Rovaniemi;ylempi korkeakoulututkinto;1991;suomi;suomi, englanti;female;3;3;1;1;2;1;3;3;2;1;3;2;3;3;3;1;2;2;3;3;0;2;1;1;3
Laura Majander;Vihreä liitto;Järvenpää;ylempi korkeakoulututkinto;1974;suomi;suomi, ruotsi, englanti;female;3;2;1;3;1;2;2;3;2;0;3;1;3;3;1;0;1;2;3;2;2;1;0;3;3
Laura Malme;Vihreä liitto;Espoo;ylempi korkeakoulututkinto;1977;suomi;suomi, ruotsi, englanti;female;3;3;0;0;1;0;2;2;3;0;3;1;3;3;1;0;1;2;2;2;3;1;1;2;3
Laura Meriluoto;Vasemmistoliitto;Kuopio;ylempi korkeakoulututkinto;1985;suomi;suomi, englanti;female;3;3;1;3;1;2;2;2;3;0;3;3;3;3;1;0;0;3;3;3;3;1;0;2;3
Laura Niemi;Suomen Kristillisdemokraatit (KD);Eura;alempi korkeakoulututkinto;1983;suomi;suomi, englanti;female;1;1;2;1;1;1;0;3;1;3;0;1;2;2;0;2;2;2;1;3;2;0;0;0;2
Laura Palmgren-Neuvonen;Vasemmistoliitto;Oulu;ylempi korkeakoulututkinto;1959;suomi;suomi, ruotsi, englanti, saksa, ranska, venäjä, italia;female;2;2;1;1;1;1;2;3;2;0;3;1;3;3;2;1;1;3;3;2;2;1;1;1;3
Laura Pullinen;Vihreä liitto;Pori;alempi korkeakoulututkinto;1992;suomi;suomi, ruotsi, englanti;female;3;2;2;2;3;1;3;2;3;0;3;1;3;2;2;0;1;1;3;2;3;2;1;2;3
Laura Rantovaara;Kansallinen Kokoomus;Lempäälä;alempi korkeakoulututkinto;1988;suomi;suomi, ruotsi, englanti, saksa;female;2;1;3;2;2;1;1;3;1;0;2;1;2;1;1;1;0;0;3;2;0;3;1;1;1
Laura Raudaskoski;Vasemmistoliitto;Rovaniemi;alempi korkeakoulututkinto;1980;suomi;suomi, ruotsi, englanti;female;3;3;2;0;0;1;2;2;3;0;3;3;3;3;0;1;0;3;3;3;2;0;0;1;3
Laura Repo;Vasemmistoliitto;Hollola;alempi korkeakoulututkinto;1988;suomi;suomi, ruotsi, englanti;female;3;1;1;3;1;0;0;3;2;0;3;1;3;2;2;1;0;1;3;3;0;0;0;2;2
Laura Räsänen;Vasemmistoliitto;Vantaa;alempi korkeakoulututkinto;1988;suomi;suomi, englanti;female;2;2;1;1;1;1;2;3;1;0;3;1;3;3;1;1;1;2;3;2;1;1;0;2;3
Laura Skaffari;Vihreä liitto;Lohja;ylempi korkeakoulututkinto;1975;suomi;suomi, ruotsi, englanti;female;1;1;1;0;2;2;2;3;1;1;3;1;3;2;1;1;2;3;3;3;2;1;1;2;3
Laura Suhonen;Suomen Sosialidemokraattinen Puolue;Varkaus;ylioppilas;1988;suomi;suomi, englanti;female;3;2;1;0;1;1;1;2;2;0;2;2;3;2;1;1;1;2;3;2;2;1;1;2;2
Laura Talvensaari;Vasemmistoliitto;Tornio;alempi korkeakoulututkinto;1990;suomi;suomi, ruotsi, englanti;female;2;2;0;0;0;2;2;2;1;0;2;0;3;3;1;1;1;3;3;2;2;1;0;3;1
Laura Tiittanen;Kansallinen Kokoomus;Joensuu;ylempi korkeakoulututkinto;1987;suomi;suomi, englanti;female;2;0;3;3;3;0;3;3;0;0;3;0;3;2;2;2;2;2;3;1;0;2;1;1;2
Laura Tulikorpi;Vihreä liitto;Kerava;ylempi korkeakoulututkinto;1975;suomi;ruotsi, englanti;female;3;3;2;3;2;1;2;3;3;0;3;0;3;3;2;1;2;3;3;2;3;2;0;3;3
Laura Virkkunen;Perussuomalaiset;Järvenpää;ammattitutkinto;1986;suomi;suomi, englanti;female;1;1;1;3;0;1;1;3;0;3;0;1;1;2;2;2;1;3;0;3;0;0;2;2;0
Laura Vänskä;Vihreä liitto;Tampere;ylempi korkeakoulututkinto;1989;suomi;suomi, englanti;female;2;3;2;1;2;2;2;2;3;0;2;1;3;3;1;1;2;3;2;2;1;1;1;2;3
Laura Wickström;Suomen ruotsalainen kansanpuolue;Parainen;ammattitutkinto;1993;ruotsi;suomi, ruotsi, englanti;female;3;1;2;0;0;2;0;3;1;0;2;3;3;3;0;2;0;2;2;3;0;0;1;3;1
Laura Åvall;Kansallinen Kokoomus;Tuusula;ylempi korkeakoulututkinto;1984;suomi;suomi, ruotsi, englanti, saksa, ranska, italia;female;3;1;2;2;2;1;3;2;1;1;2;1;2;2;2;1;1;1;3;1;0;3;2;1;2
Lauri 'Late' Kaunisaho;Vihreä liitto;Joensuu;ylioppilas;2002;suomi;suomi, englanti;male;2;2;0;3;3;2;3;3;3;0;3;0;3;3;1;1;2;3;3;3;3;3;0;3;3
Lauri Ahonen;Kansallinen Kokoomus;Nousiainen;alempi korkeakoulututkinto;1981;suomi;suomi, englanti;male;1;1;2;2;2;1;1;2;1;2;1;1;2;2;2;2;2;2;2;2;1;2;2;1;2
Lauri Ajosmäki;Perussuomalaiset;Espoo;peruskoulu;1986;suomi;suomi, englanti, saksa;male;3;2;2;0;2;1;0;3;0;1;2;1;3;2;0;2;2;2;2;3;0;2;1;2;1
Lauri Asikainen;Suomen Keskusta;Liperi;ammattitutkinto;1957;suomi;suomi;male;3;1;0;2;1;0;3;2;1;3;1;0;3;3;0;1;3;2;1;3;0;0;0;1;2
Lauri Bruce .SIT;Vasemmistoliitto;Pyhtää;ylioppilas;1970;suomi;suomi, ruotsi, englanti;male;2;2;1;1;1;1;0;2;2;0;2;1;2;3;1;1;2;2;2;2;2;0;0;2;1
Lauri Eerola;Kansallinen Kokoomus;Kotka;alempi korkeakoulututkinto;1977;suomi;suomi, englanti;male;1;1;3;1;3;1;2;3;1;3;1;0;2;1;2;2;3;0;0;2;0;3;1;0;1
Lauri Heikkilä;Suomen Keskusta;Pälkäne;ylempi korkeakoulututkinto;1991;suomi;suomi, ruotsi, englanti, saksa, ranska;male;1;2;1;1;1;1;2;1;2;1;1;2;2;1;1;1;1;2;2;3;2;0;0;0;1
Lauri Heino;Kansallinen Kokoomus;Rauma;ylempi korkeakoulututkinto;1979;suomi;suomi, ruotsi, englanti, saksa;male;0;0;3;3;3;1;3;2;0;0;1;0;0;0;3;2;3;0;1;1;0;3;1;2;0
Lauri Hemminki;Perussuomalaiset;Ylöjärvi;ammattitutkinto;1987;suomi;suomi, englanti;male;3;2;2;0;1;2;0;3;0;2;0;2;2;2;1;1;1;2;0;3;0;2;1;3;0
